,year,title,abstract,Targeted organisms,Technical target,Methods,Topics
174,2024,Marine Microbiota Responses to Shipping Scrubber Effluent Assessed at Community Structure and Function Endpoints,"The use of novel high‐throughput sequencing (HTS) technologies to examine the responses of natural multidomain microbial communities to scrubber effluent discharges to the marine environment is still limited. Thus, we applied metabarcoding sequencing targeting the planktonic unicellular eukaryotic and prokaryotic fraction (phytoplankton, bacterioplankton, and protozooplankton) in mesocosm experiments with natural microbial communities from a polluted and an unpolluted site. Furthermore, metagenomic analysis revealed changes in the taxonomic and functional dominance of multidomain marine microbial communities after scrubber effluent additions. The results indicated a clear shift in the microbial communities after such additions, which favored bacterial taxa with known oil and polycyclic aromatic hydrocarbons (PAHs) biodegradation capacities. These bacteria exhibited high connectedness with planktonic unicellular eukaryotes employing variable trophic strategies, suggesting that environmentally relevant bacteria can influence eukaryotic community structure. Furthermore, Clusters of Orthologous Genes associated with pathways of PAHs and monocyclic hydrocarbon degradation increased in numbers at treatments with high scrubber effluent additions acutely. These genes are known to express enzymes acting at various substrates including PAHs. These indications, in combination with the abrupt decrease in the most abundant PAHs in the scrubber effluent below the limit of detection—much faster than their known half‐lives—could point toward a bacterioplankton‐initiated rapid ultimate biodegradation of the most abundant toxic contaminants of the scrubber effluent. The implementation of HTS could be a valuable tool to develop multilevel biodiversity indicators of the scrubber effluent impacts on the marine environment, which could lead to improved impact assessment. Environ Toxicol Chem 2024;43:1012–1029. © 2024 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC.","Bacteria, Eukaryote, Microbiome","Community (taxonomy) profiling, Functional analysis","Metabarcoding, (Meta)genomics, Metagenomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
175,2024,The microbial community of coral reefs: biofilm composition on artificial substrates under different environmental conditions,"Artificial reefs are used as tools for the restoration of degrading coral reefs by providing new settlement substrates. The initial recruitment process consists of the formation of microbial biofilms shortly after deployment. The aim of the present study is to compare biofilm composition and development on artificial substrates at two different coral-reef sites. These locations differ in their environmental conditions, including their level of anthropogenic impact. Substrate and seawater samples were collected four times during the first 6 months after deployment, using a new methodology termed ‘tab-by-tab’. DNA was extracted, sequenced, and sorted for both prokaryotic (16s) and eukaryotic (18s) genes. No difference was found between the planktonic communities in the water, yet significant differences were observed in the biofilm communities on the structures at the two sites. Moreover, differences were recorded in coral recruitment rates, which are known to be affected by biofilm composition. Our findings suggest a potential role of environmental conditions in the early biofilm stages (first few months), which in turn may impact the succession and development of coral-reef communities and the success of artificial reefs as restoration tools.","Bacteria, Eukaryote, Microbiome",Community (taxonomy) profiling,Metabarcoding,Ecosystem Dynamics & Biodiversity
176,2024,Anthropogenic contamination sources drive differences in antimicrobial-resistant Escherichia coli in three urban lakes,"ABSTRACT Antimicrobial resistance (AMR) is an ever-present threat to the treatment of infectious diseases. However, the potential relevance of this phenomenon in environmental reservoirs still raises many questions. Detection of antimicrobial-resistant bacteria in the environment is a critical aspect for understanding the prevalence of resistance outside of clinical settings, as detection in the environment indicates that resistance is likely already widespread. We isolated antimicrobial-resistant Escherichia coli from three urban waterbodies over a 15-month time series, determined their antimicrobial susceptibilities, investigated their population structure, and identified genetic determinants of resistance. We found that E. coli populations at each site were composed of different dominant phylotypes and showed distinct patterns of antimicrobial and multidrug resistance, despite close geographic proximity. Many strains that were genome-sequenced belonged to sequence types of international concern, particularly the ST131 clonal complex. We found widespread resistance to clinically important antimicrobials such as amoxicillin, cefotaxime, and ciprofloxacin, but found that all strains were susceptible to amikacin and the last-line antimicrobials meropenem and fosfomycin. Resistance was most often due to acquirable antimicrobial resistance genes, while chromosomal mutations in gyrA, parC, and parE conferred resistance to quinolones. Whole-genome analysis of a subset of strains further revealed the diversity of the population of E. coli present, with a wide array of AMR and virulence genes identified, many of which were present on the chromosome, including blaCTX-M. Finally, we determined that environmental persistence, transmission between sites, most likely mediated by wild birds, and transfer of mobile genetic elements likely contributed significantly to the patterns observed. IMPORTANCE A One Health perspective is crucial to understand the extent of antimicrobial resistance (AMR) globally, and investigation of AMR in the environment has been increasing in recent years. However, most studies have focused on waterways that are directly polluted by sewage, industrial manufacturing, or agricultural activities. Therefore, there remains a lack of knowledge about more natural, less overtly impacted environments. Through phenotypic and genotypic investigation of AMR in Escherichia coli, this study adds to our understanding of the extent and patterns of resistance in these types of environments, including over a time series, and showed that complex biotic and abiotic factors contribute to the patterns observed. Our study further emphasizes the importance of incorporating the surveillance of microbes in freshwater environments in order to better comprehend potential risks for both human and animal health and how the environment may serve as a sentinel for potential future clinical infections. A One Health perspective is crucial to understand the extent of antimicrobial resistance (AMR) globally, and investigation of AMR in the environment has been increasing in recent years. However, most studies have focused on waterways that are directly polluted by sewage, industrial manufacturing, or agricultural activities. Therefore, there remains a lack of knowledge about more natural, less overtly impacted environments. Through phenotypic and genotypic investigation of AMR in Escherichia coli, this study adds to our understanding of the extent and patterns of resistance in these types of environments, including over a time series, and showed that complex biotic and abiotic factors contribute to the patterns observed. Our study further emphasizes the importance of incorporating the surveillance of microbes in freshwater environments in order to better comprehend potential risks for both human and animal health and how the environment may serve as a sentinel for potential future clinical infections.",Bacteria,"Isolate, Community (taxonomy) profiling, AMR",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
177,2024,Intestinal Dysbiosis in Subjects with Obesity from Western Mexico and Its Association with a Proinflammatory Profile and Disturbances of Folate (B9) and Carbohydrate Metabolism,"Obesity is a public health problem with a growing prevalence worldwide. In Mexico, it is estimated that one out of three adults suffer from obesity. In these patients, the intestinal microbiota (IM) undergoes pathological changes that are associated with a dysbiotic state; however, the microbiota profile of adult subjects with obesity from western Mexico has not been described. To assess this, fecal samples were obtained from 65 participants (Obese = 38; Control = 27). The microbial composition was characterized by 16S rRNA amplicon sequencing. The IM of the group with obesity revealed a clear decrease in richness and diversity (p < 0.001), as well as a significant increase in proinflammatory bacterial groups, mainly genera belonging to the Negativicutes class, Escherichia/Shigella, and Prevotella. Likewise, an increase in short-chain fatty acid-producing bacteria was found, especially the genus Lachnoclostridium. Additionally, PICRUSt2 analysis showed a depletion of vitamin B9 metabolism and an increase in saccharolytic pathways. The IM of patients with obesity possesses a dysbiotic, proinflammatory environment, possibly contributing to lipogenesis and adiposity. Thus, assessing the IM will allow for a better understanding of the pathophysiology of metabolic diseases of high prevalence, such as obesity. These findings are described for the first time in the adult population of western Mexico.","Bacteria, Microbiome",Community (taxonomy) profiling,Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
178,2024,The gut microbiomes of Channel Island foxes and island spotted skunks exhibit fine‐scale differentiation across host species and island populations,"Abstract California's Channel Islands are home to two endemic mammalian carnivores: island foxes (Urocyon littoralis) and island spotted skunks (Spilogale gracilis amphiala). Although it is rare for two insular terrestrial carnivores to coexist, these known competitors persist on both Santa Cruz Island and Santa Rosa Island. We hypothesized that examination of their gut microbial communities would provide insight into the factors that enable this coexistence, as microbial symbionts often reflect host evolutionary history and contemporary ecology. Using rectal swabs collected from island foxes and island spotted skunks sampled across both islands, we generated 16S rRNA amplicon sequencing data to characterize their gut microbiomes. While island foxes and island spotted skunks both harbored the core mammalian microbiome, host species explained the largest proportion of variation in the dataset. We further identified intraspecific variation between island populations, with greater differentiation observed between more specialist island spotted skunk populations compared to more generalist island fox populations. This pattern may reflect differences in resource utilization following fine‐scale niche differentiation. It may further reflect evolutionary differences regarding the timing of intraspecific separation. Considered together, this study contributes to the growing catalog of wildlife microbiome studies, with important implications for understanding how eco‐evolutionary processes enable the coexistence of terrestrial carnivores–and their microbiomes–in island environments.",Microbiome,Community (taxonomy) profiling,Metabarcoding,Ecosystem Dynamics & Biodiversity
179,2024,"A 14-Day Double-Blind, Randomized, Controlled Crossover Intervention Study with Anti-Bacterial Benzyl Isothiocyanate from Nasturtium (Tropaeolum majus) on Human Gut Microbiome and Host Defense","Despite substantial heterogeneity of studies, there is evidence that antibiotics commonly used in primary care influence the composition of the gastrointestinal microbiota in terms of changing their composition and/or diversity. Benzyl isothiocyanate (BITC) from the food and medicinal plant nasturtium (Tropaeolum majus) is known for its antimicrobial activity and is used for the treatment of infections of the draining urinary tract and upper respiratory tract. Against this background, we raised the question of whether a 14 d nasturtium intervention (3 g daily, N = 30 healthy females) could also impact the normal gut microbiota composition. Spot urinary BITC excretion highly correlated with a weak but significant antibacterial effect against Escherichia coli. A significant increase in human beta defensin 1 as a parameter for host defense was seen in urine and exhaled breath condensate (EBC) upon verum intervention. Pre-to-post analysis revealed that mean gut microbiome composition did not significantly differ between groups, nor did the circulating serum metabolome. On an individual level, some large changes were observed between sampling points, however. Explorative Spearman rank correlation analysis in subgroups revealed associations between gut microbiota and the circulating metabolome, as well as between changes in blood markers and bacterial gut species.","Bacteria, Microbiome","Community (taxonomy) profiling, AMR",Metabolomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
180,2024,First detection of a cefiderocol-resistant and extensively drug-resistant Acinetobacter baumannii clinical isolate in Bulgaria.,"Cefiderocol (CFDC) is a first-in-class siderophore cephalosporin with potent activity against multidrug-resistant Gram-negative bacteria including carbapenem-resistant Acinetobacter baumannii. The present study aimed to explore the CFDC resistance mechanisms of an extensively drug-resistant A. baumannii isolate from Bulgaria. The A. baumannii Aba52 strain (designated Aba52) was obtained in 2018 from a blood sample of a critically ill patient. The methodology included antimicrobial susceptibility testing, whole-genome sequencing (WGS), reverse transcription quantitative real-time polymerase chain reaction (RT-qPCR), multilocus sequence typing, and phylogenomic analysis. The isolate demonstrated high-level resistance to CFDC (MIC = 64 mg L-1), resistance to carbapenems, aminoglycosides, fluoroquinolones, sulfamethoxazole-trimethoprim, and tigecycline, as well as susceptibility only to colistin. WGS-based resistome analysis revealed the existence of blaOXA-23, blaOXA-66 and blaADC-73. Seven non-conservative missense mutations affecting iron transport-related genes were detected: exbD4 (p.Ser61Pro), tonB2 (p.Ala268Val), bauA (p.Thr61Ala), ftsI (p.Ala515Val), piuA (p.Gly216Val), and feoB (p.Ser429Pro and p.Thr595Ala). A variety of virulence factors associated with adherence, biofilm formation, enzyme production, immune invasion, iron uptake, quorum sensing, and two-component regulatory systems were identified, suggesting a significant pathogenic potential of Aba52. The performed RT-qPCR analysis showed diminished (0.17) and absent expression of the pirA and piuA genes, respectively, encoding TonB-dependent siderophore receptors. Aba52 belonged to the widespread high-risk sequence type ST2 (Pasteur scheme). To the best of our knowledge, this is the first documented case of CFDC-resistant A. baumannii in Bulgaria even though, CFDC has never been applied in our country. The emerging resistance highlights the crucial need for nationwide surveillance targeting the implementation of novel antibiotics.","Bacteria, Pathogen","Isolate, AMR, (M)LST",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
181,2024,Salmon louse labial gland enzymes: implications for host settlement and immune modulation,"Salmon louse (Lepeophtheirus salmonis) is a skin- and blood-feeding ectoparasite, infesting salmonids. While feeding, labial gland proteins from the salmon louse may be deposited on the Atlantic salmon (Salmo salar) skin. Previously characterized labial gland proteins are involved in anti-coagulation and may contribute to inhibiting Atlantic salmon from mounting a sufficient immune response against the ectoparasite. As labial gland proteins seem to be important in the host–parasite interaction, we have, therefore, identified and characterized ten enzymes localized to the labial gland. They are a large group of astacins named L. salmonis labial gland astacin 1–8 (LsLGA 1–8), one serine protease named L. salmonis labial gland serine protease 1 (LsLGSP1), and one apyrase named L. salmonis labial gland apyrase 1 (LsLGAp1). Protein domain predictions showed that LsLGA proteins all have N-terminal ShK domains, which may bind to potassium channels targeting the astacins to its substrate. LsLGA1 and -4 are, in addition, expressed in another gland type, whose secrete also meets the host–parasite interface. This suggests that LsLGA proteins may have an anti-microbial function and may prevent secondary infections in the wounds. LsLGAp1 is predicted to hydrolyze ATP or AMP and is, thereby, suggested to have an immune dampening function. In a knockdown study targeting LsLGSP1, a significant increase in IL-8 and MMP13 at the skin infestation site was seen under LsLGSP1 knockdown salmon louse compared to the control, suggesting that LsLGSP1 may have an anti-inflammatory effect. Moreover, most of the identified labial gland proteins are expressed in mature copepodids prior to host settlement, are not regulated by starvation, and are expressed at similar or higher levels in lice infesting the salmon louse-resistant pink salmon (Oncorhynchus gorbuscha). This study, thereby, emphasizes the importance of labial gland proteins for host settlement and their immune dampening function. This work can further contribute to anti-salmon louse treatment such as vaccine development, functional feed, or gene-edited salmon louse-resistant Atlantic salmon.",,"Functional analysis, Interactome, AMR",,Health & Disease
182,2024,Genetic mutation in Escherichia coli genome during adaptation to the murine intestine is optimized for the host diet,"ABSTRACT Mammalian gut microbes colonize the intestinal tract of their host and adapt to establish a microbial ecosystem. The host diet changes the nutrient profile of the intestine and has a high impact on microbiota composition. Genetic mutations in Escherichia coli, a prevalent species in the human gut, allow for adaptation to the mammalian intestine, as reported in previous studies. However, the extent of colonization fitness in the intestine elevated by genetic mutation and the effects of diet change on these mutations in E. coli are still poorly known. Here, we show that notable mutations in sugar metabolism-related genes (gatC, araC, and malI) were detected in the E. coli K-12 genome just 2 weeks after colonization in the germ-free mouse intestine. In addition to elevated fitness by deletion of gatC, as previously reported, deletion of araC and malI also elevated E. coli fitness in the murine intestine in a host diet-dependent manner. In vitro cultures of medium containing nutrients abundant in the intestine (e.g., galactose, N-acetylglucosamine, and asparagine) also showed increased E. coli fitness after deletion of the genes-of-interest associated with their metabolism. Furthermore, the host diet was found to influence the developmental trajectory of gene mutations in E. coli. Taken together, we suggest that genetic mutations in E. coli are selected in response to the intestinal environment, which facilitates efficient utilization of nutrients abundant in the intestine under laboratory conditions. Our study offers some insight into the possible adaptation mechanisms of gut microbes. IMPORTANCE The gut microbiota is closely associated with human health and is greatly impacted by the host diet. Bacteria such as Escherichia coli live in the gut all throughout the life of a human host and adapt to the intestinal environment. Adaptive mutations in E. coli are reported to enhance fitness in the mammalian intestine, but to what extent is still poorly known. It is also unknown whether the host diet affects what genes are mutated and to what extent fitness is affected. This study suggests that genetic mutations in the E. coli K-12 strain are selected in response to the intestinal environment and facilitate efficient utilization of abundant nutrients in the germ-free mouse intestine. Our study provides a better understanding of these intestinal adaptation mechanisms of gut microbes. The gut microbiota is closely associated with human health and is greatly impacted by the host diet. Bacteria such as Escherichia coli live in the gut all throughout the life of a human host and adapt to the intestinal environment. Adaptive mutations in E. coli are reported to enhance fitness in the mammalian intestine, but to what extent is still poorly known. It is also unknown whether the host diet affects what genes are mutated and to what extent fitness is affected. This study suggests that genetic mutations in the E. coli K-12 strain are selected in response to the intestinal environment and facilitate efficient utilization of abundant nutrients in the germ-free mouse intestine. Our study provides a better understanding of these intestinal adaptation mechanisms of gut microbes.","Bacteria, Microbiome",Community (taxonomy) profiling,(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
183,2024,Staurosporine-producing Streptomyces sp. strain 11 × 1 cell-free culture filtrates control diseases caused by the oomycete plant pathogens Pythium myriotylum and Phytophthora sojae,"ABSTRACT Oomycetes are devastating soil-borne plant pathogens, and cause numerous losses on diverse crops worldwide. In this study, our aim was to identify actinomycetes with antimicrobial activity towards oomycetes from the rhizosphere of soybean. Strong growth inhibition of P. myriotylum was found in dual culture with a strain called 11 × 1, and also from using the 11 × 1 cell-free culture filtrate and EtOAc extract. The P. myriotylum growth-inhibiting activity of the 11 × 1 culture filtrates was stable at high temperatures, and acidic and alkaline conditions. The 11 × 1 strain was identified as a Streptomyces strain with the highest 16S rDNA sequence identity to S. scabiei, and phylogenomic analysis also showed clustering with S. scabiei strains. Applying the 11 × 1 culture filtrates to ginger and soybean leaves inhibited the necrosis caused by P. myriotylum and P. sojae, respectively. Pot assay experiments showed a strong control effect of the 11 × 1 culture filtrate against P. myriotylum-caused soft-rot disease of ginger, and against P. sojae caused root-rot of soybean. Analysis of the biosynthetic gene clusters from the genome of 11 × 1 predicted the production of staurosporine, and staurosporine was subsequently identified from LC-MS analysis of the 11 × 1 extract. The concentrations of staurosporine quantified in the 11 × 1 extracts were in the range of the staurosporine minimum inhibitory concentrations for P. myriotylum, supporting the contribution of staurosporine to the biocontrol effect of 11 × 1. The use of 11 × 1 culture filtrate to control both ginger and soybean diseases could be beneficial in an intercropping system of ginger and the leguminous nitrogen-fixing soybean.",Pathogen,AMR,"Metabarcoding, (Meta)genomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
184,2024,Comparing microbiotas of foals and their mares’ milk in the first two weeks after birth,"Background The mare-foal relationship is essential for the well-being and growth of a foal. Mare’s milk provides a foal with nutrients, protective immunity, and microbes. Within the first two weeks of life, there is a risk for a foal to suffer from diarrhea, particularly “foal heat diarrhea” which happens at about the time of a mare’s estrus cycle but is more likely due to transitions in the microbiota in the foal’s gastrointestinal (GI) tract. We hypothesized that this GI microbiota transition could be caused by changes in lysozyme and microbial populations in the mare’s milk. To test this hypothesis, fifteen mare-foal pairs were followed in the first 15 days post-foaling. Every other day milk was collected from mares and rectal swabs were collected from foals. Lysozyme activity in the mare’s milk was measured using a fluorescence assay. Microbial DNA was isolated from the milk and swabs and the V4 domain of 16 S rRNA genes were PCR amplified and sequenced using Illumina MiSeq technology. Microbial populations were analyzed using DADA2 and phyloseq within R . Results Mare’s milk lysozyme activity peaked for samples at Day 1 and levels dropped to 72.5% of Day 1 activity by Day 15; however, microbial populations in the mare’s milk did not vary significantly over the two weeks. Furthermore, levels of microbial diversity found in foal rectal swabs were initially similar to microbial diversity seen in mare’s milk; however, over the first fifteen days, diversity increased for the foal rectal swab microbiota and swab microbial populations differed from milk microbes. A transition occurred shifting from microbes from the phylum Proteobacteria early in rectal swabs to those primarily from the phyla Firmicutes and Bacteroidota after the first few days post-foaling. These phyla contained several families and genera of microbes that promote utilization of milk components in healthy gut transition. Microbial abundance levels correlated more with days post-parturition than with lysozyme activity and mare’s milk microbial populations. Conclusions The findings suggest that much of the microbial populations responsible for the transition of the foal’s gut comes from sources outside of mare’s milk species and levels of lysozyme activity.","Bacteria, Microbiome","Isolate, Community (taxonomy) profiling",,"Ecosystem Dynamics & Biodiversity, Health & Disease"
185,2024,"Antibiotic resistance, plasmids, and virulence-associated markers in human strains of Campylobacter jejuni and Campylobacter coli isolated in Italy","Campylobacteriosis, a prevalent foodborne gastrointestinal infection in Europe, is primarily caused by Campylobacter jejuni and Campylobacter coli, with rising global concerns over antimicrobial resistance in these species. This study comprehensively investigates 133 human-origin Campylobacter spp. strains (102 C. jejuni and 31 C. coli) collected in Italy from 2013 to 2021. The predominant Multilocus Sequence Typing Clonal complexes (CCs) were ST-21 CC and ST-206 CC in C. jejuni and ST-828 CC in C. coli. Ciprofloxacin and tetracycline resistance, mainly attributed to GyrA (T86I) mutation and tet(O) presence, were prevalent, while erythromycin resistance was associated with 23S rRNA gene mutation (A2075G), particularly in C. coli exhibiting multidrug-resistant pattern CipTE. Notable disparities in virulence factors among strains were observed, with C. jejuni exhibiting a higher abundance compared to C. coli. Notably, specific C. jejuni sequence types, including ST-21, ST-5018, and ST-1263, demonstrated significantly elevated counts of virulence genes. This finding underscores the significance of considering both the species and strain-level variations in virulence factor profiles, shedding light on potential differences in the pathogenicity and clinical outcomes associated with distinct C. jejuni lineages. Campylobacter spp. plasmids were classified into three groups comprising pVir-like and pTet-like plasmids families, exhibiting diversity among Campylobacter spp. The study underscores the importance of early detection through Whole Genome Sequencing to identify potential emergent virulence, resistance/virulence plasmids, and new antimicrobial resistance markers. This approach provides actionable public health data, supporting the development of robust surveillance programs in Italy.","Bacteria, Pathogen","Isolate, Community (taxonomy) profiling, AMR, (M)LST",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
186,2024,Nonkin interactions between Bacillus subtilis soil isolates limit the spread of swarming deficient cheats,"Abstract Cooperative behaviours in human, animal, and even microbial societies are vulnerable to exploitation. Kin discrimination has been hypothesized to help stabilize cooperation. However, the mechanisms that sustain cooperative behaviour remain poorly understood. Here, we investigate the role of kin discrimination in limiting the spread of cheats in adjoining populations during surfactant-dependent cooperative swarming over surfaces using the bacterium Bacillus subtilis as a model organism. We show that mixing surfactant secreting cooperators and cheats that do not produce surfactants at 1:1 initial ratio quickly leads to cooperation collapse. However, when such common swarms encounter nonkin B. subtilis swarms, the proportion of the surfactant nonproducers decreases, suggesting that kinship dependent interactions may limit cheats’ advantage in an adjoining population. To further validate this finding, we subjected wild-type cooperators to multiple transient encounters with kin and nonkin swarms over 20 cycles of experimental evolution. The evolved populations exposed to nonkin swarms less frequently contained defective swarming phenotypes compared to those encountering kin swarms. Altogether, our results support the prediction that the spread of cheats in an adjoining bacterial population is impeded by kin discrimination interactions, which might have a role in stabilizing cooperative behaviour in evolving populations.",Bacteria,"Isolate, Interactome",,Ecosystem Dynamics & Biodiversity
187,2024,"Changes in the Microbial Community Associated with the Large Benthic Foraminifera Cycloclypeus Carpenteri, Along a Depth Gradient","
 Cycloclypeus carpenteri is one of the deepest living large benthic foraminifera. It has an obligatory relationship with diatom photosymbionts, and, in addition, houses a diverse prokaryotic community. Variations in the eukaryotic and prokaryotic endobiotic community composition might be key in allowing Cycloclypeus to occur in low light environments. We assessed the variability of the prokaryotic and eukaryotic communities associated with Cycloclypeus along a depth gradient from 50 to 130 m at two locations in the Federated States of Micronesia (Northwest Pacific) by metabarcoding of the 18S V9 rRNA region for eukaryotes and the 16S V3-V4 rRNA region for prokaryotes. We observed a single foraminiferal operational taxonomic unit (OTU), as well as a single dominant diatom OTU that was abundant in all sequenced specimens. Both the prokaryotic and the eukaryotic endobiotic communities (excluding the dominant diatom) changed with water depth and associated irradiance levels. We observed a distinct change in the prokaryotic community composition around 90–100 m water depth at Pohnpei, equivalent to ∼1% surface radiation. This change in microbial communities in the Cycloclypeus holobiont suggests a potential role of the associated microbial communities in accommodating differences in (micro)habitat, although we cannot exclude that the prokaryote community is to a large extent driven by their community composition in the ambient environment.","Bacteria, Eukaryote, Microbiome",Community (taxonomy) profiling,Metabarcoding,Ecosystem Dynamics & Biodiversity
188,2023,Succession of the bacterial community from a spacecraft assembly clean room when enriched in brines relevant to Mars,"Abstract Interplanetary spacecraft are built in a spacecraft assembly facility (SAF), a clean room designed to reduce microbial contamination that could confound life detection missions or influence native ecosystems. The frigid hyperarid near-surface environment of Mars has ample hygroscopic Mg and Na salts of chloride, (per)chlorate and sulphate that may deliquesce to form dense brines, liquids with low water activity, and freezing points <0°C. The current study sought to define the climax microbial community after 6 mo of enrichment of SAF floor wipe samples in salt plains medium supplemented with 50% (w/v; ~2 M; aw = 0.94) MgSO4 or 20% (w/v; ~1.9 M; aw = 0.91) NaClO3. After 1 wk, 4 wk and 6 mo of incubation, metagenomic DNA extracts of the enriched SAF microbial community were used for high-throughput sequencing of 16S rRNA genes and subsequent phylogenetic analyses. Additionally, dozens of bacterial strains were isolated by repetitive streak-plating from the climax community after 6 mo of enrichment. Early in the enrichment, staphylococci greatly dominated and then remained abundant members of the community. However, actinobacteria succeeded the staphylococci as the dominant taxa as the cultures matured, including Arthrobacter, Brachybacterium and Brevibacterium. A diverse assemblage of bacilli was present, with Oceanobacillus being especially abundant. The SAF culture collection included representatives of Brachybacterium conglomeratum, Brevibacterium sediminis, Oceanobacillus picturae and Staphylococcus sciuri. These were characterized with biochemical and physiological tests, revealing their high salinotolerance. Shannon diversity indices were generally near 2, reflecting modest diversity at several levels of identity and the community structures were uneven throughout. However, minor members of the community seem capable of the ecosystem functions required for biogeochemical cycling. For instance, organisms capable of all the functions of the N cycle were detected. The microbial assemblage in SAFs is the most likely to be transported by spacecraft to another world. While individual microbial populations may exhibit the qualities needed for survival at the near-surface of Mars, certainly entire communities with the capacity for complete biogeochemical cycling, would have a greater chance of survival and proliferation.","Bacteria, Microbiome","Isolate, Community (taxonomy) profiling, Functional analysis, MAGs","Metabarcoding, (Meta)genomics, Metagenomics",Ecosystem Dynamics & Biodiversity
189,2023,Influence of three different manure treatments on antimicrobial resistance genes and mobile genetic elements,"There is a growing concern about the potential dissemination of antimicrobial resistance into agricultural fields due to the application of manure as crop fertilizer. While reducing the usage of antibiotics in livestock production stands as the first alternative to prevent this problem, there is evidence that this may not be enough to eliminate antimicrobial resistance elements already present in manure microbiomes. This study employed a metagenomic approach to investigate the impact of common manure treatments, including aerobic storage, mesophilic anaerobic digestion (MAD), and solid-liquid separation, on the presence and abundance of antimicrobial resistance genes (ARGs), bactericides, and heavy metal resistance genes (BacMet), and mobile genetic elements (MGEs) in manure from three different farms, including one operating in an antibiotic-free environment. The results indicated that MAD was the best method to reduce the numbers of ARGs, BacMet, and MGEs, achieving reduction rates greater than 40%, 89%, and 68%, respectively. Manure storage significantly reduced BacMet levels (over 30%) and MGEs (28%) but had no significant effect on total ARG levels. Solids recovered through solid-liquid separation exhibited elevated levels of ARGs, BacMet, and MGEs, while the liquid fraction displayed levels similar to untreated manures. Correlation and co-occurrence modeling analyses indicated that changes in microbial communities, particularly fluctuations in aerobic and facultative communities belonging to Bacillota, Actinomycetota, and Pseudomonadota phyla, played a significant role in driving changes in ARGs, BacMet, and MGEs. The results also showed the presence of toxin-antitoxin and transposon systems near different ARGs. Overall, the results confirmed that genes conferring resistance to various antimicrobials and MGE capable of mobilizing them are widely spread in dairy farms; that even under the absence of antibiotics, the use of heavy metals and disinfectants may promote the maintenance of ARGs and MGEs, and; that treatment such as anaerobic digestion could reduce the risk of the spread of antimicrobial resistance.","Bacteria, Microbiome","Community (taxonomy) profiling, AMR","(Meta)genomics, Metagenomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
190,2023,Metagenomic comparison of effects of mesophilic and thermophilic manure anaerobic digestion on antimicrobial resistance genes and mobile genetic elements,,,AMR,"(Meta)genomics, Metagenomics",Health & Disease
191,2023,Metabolomic Alterations of Volatile Organic Compounds and Bile Acids as Biomarkers of Microbial Shifts in a Murine Model of Short Bowel Syndrome,"Pediatric short bowel syndrome (SBS) is a rare condition characterized by a massive loss of the small intestine, leading to the inability to meet nutritional requirements without the use of parenteral or enteral supplementation. SBS causes profound alterations in the intestinal microbiome and metabolome. The aim of this study was a detailed assessment of the intestinal microbiome and metabolome in a murine model of SBS. We performed a 60% proximal small bowel resection versus a sham operation in C57BL/6 mice. Four weeks postoperatively, the microbial communities of different intestinal segments (jejunum, ileum, colon) and stool were assessed by 16S rRNA gene sequencing. Bile acids in serum and stool and volatile organic compounds (VOCs) in the fecal headspace were assessed using LC-MS and GC-MS techniques. The α-diversity of the different intestinal segments did not significantly differ between the two groups. β-diversity significantly differed between sham and SBS mice. While in the jejunum, Faecalibaculum was significantly increased in SBS animals, a significant reduction in Lactobacillus and Sporosarcina was detected in the ileum of SBS mice. In the colon of SBS mice, a significant decrease in Ruminococcaceae and a significant increase in Proteobacteria such as Faecalibaculum and Escherichia-Shigella were found. Serum levels of deoxycholic, taurocholic and taurochenodeoxycholic acids were significantly higher in the SBS group. Of the 29 VOCs tested, hexane, isoflurane and pentane were significantly higher in the SBS group, and pyrrole was significantly lower. We were able to show that SBS causes shifts in the murine intestinal microbiome and metabolome including serum BAs and fecal VOCs.","Bacteria, Microbiome","Community (taxonomy) profiling, Gene identification / Biomarker","Metabarcoding, Metabolomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
